jornada,match,result,liga
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_9/,Betis - Alavés en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_9/,Valencia - Sevilla en directo,4 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_9/,Celta - Atlético en directo,0 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_9/,Leganés - Athletic en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_9/,Real Madrid - Eibar en directo,3 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_9/,Villarreal - Las Palmas en directo,4 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_9/,Deportivo - Girona en directo,1 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_9/,R. Sociedad - Espanyol en directo,1 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_10/,Alavés - Valencia en directo,1 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_10/,Athletic - Barcelona en directo,0 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_10/,Atlético - Villarreal en directo,1 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_10/,Sevilla - Leganés en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_10/,Eibar - Levante en directo,2 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_10/,Getafe - R. Sociedad en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_10/,Girona - Real Madrid en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_10/,Málaga - Celta en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_10/,Espanyol - Betis en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_10/,Las Palmas - Deportivo en directo,1 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_11/,Betis - Getafe en directo,2 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_11/,Alavés - Espanyol en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_11/,Barcelona - Sevilla en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_11/,Deportivo - Atlético en directo,0 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_11/,Valencia - Leganés en directo,3 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_11/,Celta - Athletic en directo,3 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_11/,Levante - Girona en directo,1 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_11/,Real Madrid - Las Palmas en directo,3 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_11/,R. Sociedad - Eibar en directo,3 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_11/,Villarreal - Málaga en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_6/,Alavés - Real Madrid en directo,1 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_6/,Atlético - Sevilla en directo,2 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_6/,Girona - Barcelona en directo,0 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_6/,Málaga - Athletic en directo,3 - 3,primera
